coef,"""cpgs"""""
293.455727634503,(Intercept)
-0.0915981887709577,cg12701018
-2.30585295997707,cg00078456
-0.479404459377385,cg14958032
-11.7152083624862,cg00735586
-8.50948826527983,cg09035049
-0.536780735843498,cg23915699
-0.328145401521853,cg24741609
1.09279086621116,cg00996847
1.62605772880434,cg12079303
-10.8946539388334,cg20301308
1.71473822913148,cg21141647
-8.59422505466219,cg13189264
0.34997246965944,cg16246545
2.73125225571094,cg06902698
3.70852105323337,cg01281797
6.26509398981238,cg01833485
-3.12355980425048,cg12434132
-0.555166934652702,cg06046912
-4.76755000203589,cg11147204
25.6123921961863,cg19672145
1.69010125017166,cg02968445
1.59590451574746,cg09116068
-32.3862823154458,cg07749613
-2.24982381412628,cg21155834
11.9774441391577,cg15433843
6.30074487940313,cg12685296
-0.715095685751212,cg22871331
-0.456850441267689,cg25241559
3.39089481552127,cg06900004
-7.35400359643356,cg20582941
-2.78254549100593,cg09709426
4.92140675899775,cg25471682
0.933837920005788,cg00125744
3.11632597474751,cg10165543
-0.0902447000698067,cg23681974
-0.890922395316499,cg27114354
-3.75636701184361,cg09219813
6.004114197118,cg20899078
2.83008598297788,cg09406615
0.323361786110631,cg01289541
-1.10136059674085,cg18878242
-0.0546584535219409,cg01700124
-0.100500192153824,cg13335054
4.83665075212288,cg03675083
5.00948626531597,cg20816447
4.31762104927438,cg21395123
2.15355590543868,cg09317554
5.76296871862665,cg03080336
4.90842105210645,cg26302614
3.00608796227237,cg07425969
7.73974492819889,cg15134801
2.53649844645918,cg27596513
-1.32525340848667,cg22323744
1.55211351401929,cg05685493
5.41203704028533,cg11670060
4.38627585442054,cg20948548
1.49726658617945,cg05869816
5.79946115597569,cg03680932
3.97166456223854,cg12681972
-6.25088230183366,cg14258501
2.57369722148279,cg15642307
-3.09184642993643,cg22324029
-0.0805378022392679,cg11451043
0.860964320111399,cg10610528
-8.35713904699293,cg05585911
2.95986407989574,cg14147998
-2.41967865325693,cg13917060
-2.46876068717448,cg01125066
-0.916522962624692,cg04226102
-0.494957619769178,cg10153341
-2.26951663234371,cg18334681
-1.90405894387948,cg13136655
2.35650924212248,cg21707172
-0.177878272606243,cg04145624
0.0995819045296328,cg05592959
-2.07288029759853,cg11896546
-2.53960451989432,cg05494863
1.84487728441015,cg08598654
13.1821544050804,cg02133520
0.2218660401511,cg21870708
2.76164056205387,cg21048168
-2.59771080827537,cg16394646
-4.73331446772767,cg25975961
3.82046525948659,cg16330893
0.565355605360714,cg07745674
-11.1074500657005,cg08858239
-7.36635574252292,cg11765109
-4.46060442720006,cg09514524
-2.82225953175406,cg04617279
-2.25934694307768,cg11387576
-5.63280580358942,cg17307655
1.24303782330487,cg06467473
1.94943179167847,cg00564080
-13.7787826022922,cg11579708
6.6051207405421,cg04956801
3.07918622233816,cg13976755
-0.0245193027223831,cg05573264
-0.185042763995078,cg10968849
-4.09576056569482,cg20593464
-53.0589923310352,cg11352146
5.49118945509508,cg13703666
-9.55582025553084,cg11436362
-2.59525696592513,cg04048912
0.285578919712481,cg26077811
0.956313923448362,cg05765761
-1.73823997870719,cg24436531
-3.68702389903823,cg09041268
-2.42300216839651,cg19640090
4.03036517940687,cg01855540
9.30669885150956,cg01745510
-2.22820695010905,cg23108580
-0.751461838067858,cg19333758
1.25467832683027,cg09024008
-2.50841400751437,cg14347274
-6.78871398844774,cg04753874
10.6005849011026,cg12226111
-3.36164400891178,cg11026555
-12.7607351908742,cg04347477
1.71436252391208,cg05062715
-1.57723748252344,cg00406098
6.13459137865695,cg13774342
1.47518173650466,cg02264407
-3.67492139567185,cg06686233
1.99561758656348,cg16624069
5.26611066453737,cg12822891
2.31126909683959,cg11929188
4.4606539454109,cg07533333
-1.26690006966834,cg23009865
-4.0521364325714,cg14678667
-4.50137225856467,cg16348385
0.0202367604254023,cg16660091
-0.115178442006406,cg27518892
6.42852535559522,cg03987653
-0.482199159130743,cg24387542
3.01200811827919,cg19478539
1.15457224214146,cg04987362
3.4392840375512,cg01405107
4.41300540165368,cg27294582
11.2161531445039,cg18183624
27.2392586535212,cg09618028
-1.79870525433171,cg18875496
0.42805119285742,cg01862457
2.66921916282896,cg02528959
5.48654258475959,cg01493617
4.25844712423259,cg03513146
-1.25791460065445,cg06791771
0.146723524318463,cg03614916
-3.94584476389722,cg27133782
-1.06933335763153,cg17633994
-12.1067368878602,cg21180953
0.542588896960442,cg23150343
3.55972279788795,cg13500196
-3.76670747996896,cg00948111
-0.0309626101249386,cg24024661
-5.68197459797119,cg10714639
1.12246047495323,cg26670249
-3.38936669067508,cg00840791
1.15672835900748,cg10906834
4.54318627627578,cg03816616
0.929256482728593,cg12542255
0.0162772701471304,cg06521942
0.180463853731305,cg26749518
0.545281340235916,cg19149785
2.48708053863196,cg20367072
0.660468423087027,cg07323676
0.425598503073002,cg16364693
-0.0687347787582099,cg11471559
-5.70858900085736,cg11681959
-0.192018952825125,cg10886901
0.162094398272992,cg16704590
-3.85424153405635,cg25318971
-0.456630514234334,cg13695726
-7.06306866572117,cg03394664
-1.4055066040676,cg24797865
-3.56684861795039,cg19985636
-2.62254026242982,cg24951158
